V	hit	positive	38.0	8.0	7.0	23.0	0.2195122	0.19512194	0.58536583
V	going	positive	514.0	148.0	86.0	280.0	0.28820115	0.16827853	0.54352033
V	is	negative	1329.0	506.0	260.0	563.0	0.38063064	0.19594595	0.4234234
V	deal	negative	1.0	0.0	1.0	0.0	0.25	0.5	0.25
V	hate	negative	20.0	0.0	16.0	4.0	0.04347826	0.73913044	0.2173913
ADJ	Iranian	negative	1.0	0.0	1.0	0.0	0.25	0.5	0.25
V	says	negative	54.0	13.0	14.0	27.0	0.24561404	0.2631579	0.49122807
V	keep	negative	31.0	16.0	5.0	10.0	0.5	0.1764706	0.32352942
V	talking	negative	22.0	5.0	5.0	12.0	0.24	0.24	0.52
V	may	negative	560.0	183.0	127.0	250.0	0.3268206	0.22735347	0.44582593
V	end	negative	14.0	6.0	4.0	4.0	0.4117647	0.29411766	0.29411766
V	finding	negative	2.0	0.0	1.0	1.0	0.2	0.4	0.4
V	Tried	neutral	1.0	0.0	0.0	1.0	0.25	0.25	0.5
V	Establish	neutral	1.0	0.0	0.0	1.0	0.25	0.25	0.5
V	http	neutral	693.0	143.0	57.0	493.0	0.20689656	0.083333336	0.70977014
V	Vote	neutral	3.0	0.0	0.0	3.0	0.16666667	0.16666667	0.6666667
V	sat	neutral	67.0	17.0	22.0	28.0	0.25714287	0.32857144	0.41428572
ADJ	whole	neutral	21.0	6.0	5.0	10.0	0.29166666	0.25	0.45833334
ADJ	11th	positive	25.0	8.0	3.0	14.0	0.32142857	0.14285715	0.53571427
V	are	positive	395.0	126.0	76.0	193.0	0.31909546	0.19346733	0.4874372
V	make	positive	157.0	65.0	20.0	72.0	0.4125	0.13125	0.45625
ADJ	successful	positive	4.0	4.0	0.0	0.0	0.71428573	0.14285715	0.14285715
ADJ	tough	positive	10.0	2.0	1.0	7.0	0.23076923	0.15384616	0.61538464
V	Talking	negative	3.0	0.0	1.0	2.0	0.16666667	0.33333334	0.5
V	deciding	negative	3.0	1.0	1.0	1.0	0.33333334	0.33333334	0.33333334
V	want	negative	181.0	50.0	39.0	92.0	0.2771739	0.2173913	0.5054348
V	go	negative	312.0	104.0	60.0	148.0	0.33333334	0.1936508	0.47301587
V	applying	negative	1.0	0.0	1.0	0.0	0.25	0.5	0.25
V	stresses	negative	1.0	0.0	1.0	0.0	0.25	0.5	0.25
V	is	neutral	1329.0	506.0	260.0	563.0	0.38063064	0.19594595	0.4234234
ADJ	Happy	neutral	79.0	72.0	3.0	4.0	0.8902439	0.048780486	0.06097561
V	trending	neutral	10.0	4.0	3.0	3.0	0.3846154	0.30769232	0.30769232
ADJ	14th	neutral	22.0	9.0	6.0	7.0	0.4	0.28	0.32
ADJ	12th	neutral	15.0	6.0	1.0	8.0	0.3888889	0.11111111	0.5
V	may	negative	560.0	183.0	127.0	250.0	0.3268206	0.22735347	0.44582593
V	have	negative	597.0	212.0	114.0	271.0	0.355	0.19166666	0.45333335
V	winning	negative	16.0	9.0	2.0	5.0	0.5263158	0.15789473	0.31578946
V	bringing	neutral	14.0	5.0	0.0	9.0	0.3529412	0.05882353	0.5882353
V	hope	neutral	53.0	35.0	8.0	10.0	0.64285713	0.16071428	0.19642857
V	get	neutral	324.0	106.0	61.0	157.0	0.32721713	0.18960245	0.48318043
V	squiched	neutral	1.0	0.0	0.0	1.0	0.25	0.25	0.5
ADJ	retail	neutral	5.0	0.0	0.0	5.0	0.125	0.125	0.75
V	replaced	neutral	4.0	0.0	0.0	4.0	0.14285715	0.14285715	0.71428573
V	http	neutral	693.0	143.0	57.0	493.0	0.20689656	0.083333336	0.70977014
V	watched	positive	46.0	21.0	9.0	16.0	0.4489796	0.20408164	0.3469388
V	remember	positive	31.0	11.0	3.0	17.0	0.3529412	0.11764706	0.5294118
ADJ	best	positive	124.0	103.0	9.0	12.0	0.81889766	0.07874016	0.10236221
ADJ	8th	positive	52.0	9.0	5.0	38.0	0.18181819	0.10909091	0.7090909
V	was	positive	454.0	143.0	116.0	195.0	0.31509846	0.2560175	0.42888403
V	excited	positive	73.0	68.0	2.0	3.0	0.90789473	0.039473683	0.05263158
V	did	positive	72.0	18.0	19.0	35.0	0.25333333	0.26666668	0.48
V	confirmed	neutral	15.0	1.0	2.0	12.0	0.11111111	0.16666667	0.7222222
V	is	neutral	1329.0	506.0	260.0	563.0	0.38063064	0.19594595	0.4234234
V	set	neutral	42.0	5.0	9.0	28.0	0.13333334	0.22222222	0.64444447
V	play	neutral	118.0	32.0	19.0	67.0	0.27272728	0.16528925	0.56198347
V	http	neutral	693.0	143.0	57.0	493.0	0.20689656	0.083333336	0.70977014
V	want	positive	181.0	50.0	39.0	92.0	0.2771739	0.2173913	0.5054348
V	pop	positive	7.0	2.0	0.0	5.0	0.3	0.1	0.6
V	have	positive	597.0	212.0	114.0	271.0	0.355	0.19166666	0.45333335
V	chapel	positive	1.0	1.0	0.0	0.0	0.5	0.25	0.25
V	should	positive	90.0	29.0	17.0	44.0	0.32258064	0.19354838	0.48387095
V	come	positive	152.0	70.0	16.0	66.0	0.45806453	0.10967742	0.43225807
V	shes	positive	1.0	1.0	0.0	0.0	0.5	0.25	0.25
