hit	0.21052632	0.18421052	0.6052632
going	0.28793773	0.16731517	0.54474705
is	0.3807374	0.19563581	0.42362678
deal	0.0	1.0	0.0
hate	0.0	0.8	0.2
Iranian	0.0	1.0	0.0
says	0.24074075	0.25925925	0.5
keep	0.516129	0.16129032	0.32258064
talking	0.22727273	0.22727273	0.54545456
may	0.3267857	0.22678572	0.44642857
end	0.42857143	0.2857143	0.2857143
finding	0.0	0.5	0.5
Tried	0.0	0.0	1.0
Establish	0.0	0.0	1.0
http	0.20634921	0.08225108	0.71139973
Vote	0.0	0.0	1.0
sat	0.25373134	0.3283582	0.41791046
whole	0.2857143	0.23809524	0.47619048
11th	0.32	0.12	0.56
are	0.31898734	0.19240506	0.4886076
make	0.41401273	0.12738854	0.45859873
successful	1.0	0.0	0.0
tough	0.2	0.1	0.7
Talking	0.0	0.33333334	0.6666667
deciding	0.33333334	0.33333334	0.33333334
want	0.2762431	0.21546961	0.5082873
go	0.33333334	0.1923077	0.47435898
applying	0.0	1.0	0.0
stresses	0.0	1.0	0.0
Happy	0.9113924	0.03797468	0.050632913
trending	0.4	0.3	0.3
14th	0.4090909	0.27272728	0.3181818
12th	0.4	0.06666667	0.53333336
have	0.3551089	0.19095477	0.45393634
winning	0.5625	0.125	0.3125
bringing	0.35714287	0.0	0.64285713
hope	0.6603774	0.1509434	0.18867925
get	0.3271605	0.18827161	0.4845679
squiched	0.0	0.0	1.0
retail	0.0	0.0	1.0
replaced	0.0	0.0	1.0
watched	0.45652175	0.19565217	0.3478261
remember	0.3548387	0.09677419	0.5483871
best	0.83064514	0.07258064	0.09677419
8th	0.17307693	0.09615385	0.7307692
was	0.31497797	0.2555066	0.42951542
excited	0.9315069	0.02739726	0.04109589
did	0.25	0.2638889	0.4861111
confirmed	0.06666667	0.13333334	0.8
set	0.11904762	0.21428572	0.6666667
play	0.27118644	0.16101696	0.5677966
pop	0.2857143	0.0	0.71428573
chapel	1.0	0.0	0.0
should	0.32222223	0.18888889	0.4888889
come	0.46052632	0.10526316	0.43421054
shes	1.0	0.0	0.0
great	0.877551	0.05102041	0.071428575
tell	0.28947368	0.15789473	0.55263156
asked	0.10526316	0.15789473	0.7368421
odd	0.0	0.25	0.75
true	0.36666667	0.1	0.53333336
becomes	0.0	0.0	1.0
big	0.57377046	0.04918033	0.37704918
could	0.44444445	0.09259259	0.46296296
sing	0.4	0.1	0.5
global	0.0	0.33333334	0.6666667
amazing	1.0	0.0	0.0
lanky	1.0	0.0	0.0
saw	0.41304347	0.08695652	0.5
ranked	0.0	0.25	0.75
4th	0.34931508	0.14383562	0.5068493
all-time	0.0	0.0	1.0
including	0.18181819	0.09090909	0.72727275
Good	0.8888889	0.027777778	0.083333336
be	0.3962999	0.17429405	0.42940605
Fantastic	0.75	0.0	0.25
Expect	0.33333334	0.0	0.6666667
light-moderate	0.0	0.0	1.0
fair	0.0	0.4	0.6
left	0.3	0.1	0.6
miss	0.53731346	0.25373134	0.20895523
Hit	0.33333334	0.0	0.6666667
said	0.08791209	0.23076923	0.6813187
has	0.3105263	0.18947369	0.5
turn	0.3529412	0.29411766	0.3529412
consisted	0.0	1.0	0.0
watching	0.44761905	0.13333334	0.41904762
throw	0.0	0.5555556	0.44444445
whaa	0.0	1.0	0.0
hard	0.25	0.5	0.25
find	0.25641027	0.20512821	0.53846157
Went	0.75	0.125	0.125
Will	0.30769232	0.115384616	0.5769231
search	0.0	1.0	0.0
BE	0.5714286	0.2857143	0.14285715
cost	0.0	0.6	0.4
more	0.371134	0.13402061	0.49484536
would	0.43650794	0.1984127	0.36507937
see	0.5223097	0.11023622	0.36745408
start	0.41509435	0.13207547	0.4528302
working	0.35	0.1	0.55
comes	0.3888889	0.22222222	0.3888889
means	0.42857143	0.2857143	0.2857143
had	0.2890625	0.203125	0.5078125
needed	0.36363637	0.27272728	0.36363637
benched	1.0	0.0	0.0
thought	0.35714287	0.25	0.39285713
win	0.5	0.11111111	0.3888889
little	0.3888889	0.1388889	0.4722222
much	0.5	0.35714287	0.14285715
nice	0.8125	0.03125	0.15625
tempting	1.0	0.0	0.0
Hmmmm	1.0	0.0	0.0
do	0.33714285	0.2	0.46285716
Huge	0.0	0.0	1.0
know	0.32402235	0.19553073	0.48044693
lies	0.0	0.4	0.6
1st	0.3504823	0.20900321	0.44051448
saying	0.375	0.29166666	0.33333334
weird	0.1	0.3	0.6
tantrak	1.0	0.0	0.0
live	0.28395063	0.061728396	0.654321
20th	0.5	0.0	0.5
Dream	0.5	0.5	0.0
sucks	0.0	1.0	0.0
compared	0.0	0.71428573	0.2857143
Egypt's	0.0	0.0	1.0
Muslim	0.0	0.0	1.0
instructed	0.0	0.0	1.0
C'mon	0.16666667	0.45833334	0.375
got	0.39375	0.15	0.45625
tagged	0.0	0.0	1.0
looks	0.4	0.23333333	0.36666667
researching	0.0	0.0	1.0
think	0.31609195	0.21264368	0.47126436
will	0.31428573	0.11619048	0.5695238
beat	0.5277778	0.11111111	0.3611111
sure	0.38961038	0.15584415	0.45454547
implode	0.0	1.0	0.0
first	0.344	0.136	0.52
held	0.2857143	0.071428575	0.64285713
3rd	0.32142857	0.17857143	0.5
studied	1.0	0.0	0.0
<	0.36363637	0.3	0.33636364
fragile	1.0	0.0	0.0
We're	0.46153846	0.07692308	0.46153846
guaranteed	1.0	0.0	0.0
give	0.2962963	0.2037037	0.5
Do	0.3548387	0.09677419	0.5483871
wondered	1.0	0.0	0.0
btwn	1.0	0.0	0.0
faired	1.0	0.0	0.0
Thank	0.9444444	0.055555556	0.0
call	0.33333334	0.25925925	0.4074074
givng	0.0	1.0	0.0
GOOD	0.0	1.0	0.0
might	0.2413793	0.20689656	0.55172414
named	0.2857143	0.14285715	0.5714286
It's	0.5714286	0.23809524	0.1904762
5th	0.35555556	0.2888889	0.35555556
such	0.53846157	0.07692308	0.3846154
second	0.13333334	0.2	0.6666667
tied	0.33333334	0.0	0.6666667
6th	0.29577464	0.112676054	0.5915493
Get	0.575	0.025	0.4
occupy	0.0	0.0	1.0
15th	0.27272728	0.0	0.72727275
local	0.5	0.0	0.5
rained	1.0	0.0	0.0
didn't	0.375	0.375	0.25
right	0.3125	0.34375	0.34375
rumble	0.5555556	0.0	0.44444445
assemble	1.0	0.0	0.0
were	0.37333333	0.2	0.42666668
gettin	1.0	0.0	0.0
strange	0.5	0.0	0.5
passes	0.0	0.0	1.0
small	0.2	0.0	0.8
act	0.4	0.0	0.6
new	0.34302327	0.11627907	0.5406977
clutch	0.0	0.0	1.0
Homegrown	0.0	1.0	0.0
missing	0.09090909	0.27272728	0.6363636
most	0.41666666	0.20833333	0.375
coming	0.4716981	0.08490566	0.44339624
perf	1.0	0.0	0.0
heard	0.34285715	0.114285715	0.54285717
we're	0.5	0.0	0.5
fired	0.4	0.0	0.6
I'd	0.75	0.0	0.25
plenty	0.0	0.0	1.0
last	0.39712918	0.17224881	0.430622
enjoy	0.8333333	0.0	0.16666667
tweeps	0.5	0.0	0.5
work	0.39130434	0.08695652	0.5217391
Playing	0.18181819	0.18181819	0.6363636
lost	0.2	0.53333336	0.26666668
overall	0.5	0.0	0.5
MataMagic	1.0	0.0	0.0
restocked	0.0	1.0	0.0
can't	0.4390244	0.3902439	0.17073171
afford	0.4	0.6	0.0
deeper	0.0	0.33333334	0.6666667
missed	0.37037036	0.4074074	0.22222222
wake	0.4	0.2	0.4
forget	0.5416667	0.083333336	0.375
